device_id,x,y
62978,3265,5525
20487,2931,6322
50195,2862,5943
3097,3143,6102
47279,3842,5877
59422,2333,6665
16422,3442,5485
1070,2475,6553
8751,3154,5744
24624,2566,6118
35379,3272,6249
31296,3266,6254
30789,3006,5852
4678,3348,5737
25167,2789,6354
35411,3717,6349
26715,3059,6208
53355,3039,5857
10861,3377,6680
5746,2938,5580
11382,3171,6516
24183,3054,6352
62588,2824,5774
51328,3416,5938
23172,3081,6491
31880,2735,6262
16009,2878,6362
31372,2971,6442
12434,2512,5886
64666,3215,6061
2715,2876,6134
63138,3012,5646
29352,2375,6947
50345,2442,6488
63662,3348,6283
52911,3423,6221
58546,2939,6313
62134,2374,6469
39097,2727,6130
40634,2519,6281
48840,3719,6363
1738,2746,5681
56015,2976,6651
23248,2921,6025
47316,3376,6211
24792,3431,6010
8484,2417,6608
60634,2742,6389
34028,3143,6233
13552,2423,6091
46850,2246,6418
25860,2725,4054
2824,3186,6507
778,2780,5693
26381,2626,6556
22287,2548,6270
8996,3222,6067
61235,3350,6188
65336,2785,6165
55609,2986,6610
1852,2886,6518
33087,2849,6607
9536,2324,5955
59727,2838,6248
5969,2083,6367
62300,2972,5335
52580,4767,6384
7525,2626,5926
36201,3030,6551
15725,2731,5762
1905,3669,6141
7540,3180,6224
42872,2769,6349
17278,2775,5949
32642,3871,6230
56709,3211,6430
44934,2416,6636
47496,3362,6373
52106,3461,5658
34191,2763,6757
46992,2666,5829
32147,3379,5812
10652,2767,6355
59293,3456,5674
16807,2926,6085
18355,3262,6253
59829,2567,5804
26047,3020,5973
25028,3890,6145
49617,3866,5829
16341,2985,6624
5113,2450,5988
40921,3779,6014
49487,3127,6151
16868,3216,6614
3049,2336,6650
14759,1783,7138
29684,2642,6662
26613,3152,6585
26617,3225,6244
